                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6935,                 3.4401,                 1.3235,                 0.4933,                0.40329,                0.35574,                0.25288,                 1.0583,                 3.6819,                 1.0543,             0.00010584,             0.00010584,             0.00010584
                      2,                 1.2363,                 1.2619,                 1.0808,                0.84567,                0.90096,                0.94099,                0.68863,                0.97849,                0.99262,                 1.0176,             0.00020451,             0.00020451,             0.00020451
                      3,                 1.1706,                0.88402,                 1.0623,                   0.88,                0.88458,                 0.9595,                0.70344,                0.96593,                0.79839,                 1.0088,             0.00028977,             0.00028977,             0.00028977
                      4,                 1.0999,                0.76753,                 1.0392,                 0.8194,                0.94829,                0.96065,                0.70026,                 1.0057,                0.76899,                 1.0013,             0.00036162,             0.00036162,             0.00036162
                      5,                 1.0798,                0.72847,                 1.0399,                0.94627,                0.98196,                0.97435,                0.72825,                0.93957,                0.60359,                0.99377,             0.00042007,             0.00042007,             0.00042007
                      6,                 1.0454,                0.63921,                 1.0577,                0.96393,                0.98028,                0.98352,                0.75382,                0.90403,                0.55809,                0.97247,              0.0004116,              0.0004116,              0.0004116
                      7,                 1.0144,                0.58127,                 1.0487,                0.96009,                 0.9561,                0.98124,                0.68157,                 1.1107,                 0.6888,                 1.0219,             0.00037632,             0.00037632,             0.00037632
                      8,                0.98639,                0.57478,                 1.0255,                0.97626,                0.98012,                0.98452,                0.75664,                0.90491,                0.50995,                0.96603,             0.00034104,             0.00034104,             0.00034104
                      9,                0.97425,                0.52329,                 1.0246,                0.96779,                0.98406,                0.99204,                0.74719,                0.92772,                0.48856,                0.97203,             0.00030576,             0.00030576,             0.00030576
                     10,                 0.9484,                 0.5054,                  1.006,                 0.9735,                0.98605,                0.98812,                0.76692,                 0.8684,                0.45123,                0.94983,             0.00027048,             0.00027048,             0.00027048
                     11,                0.93639,                0.48667,                 1.0115,                0.96024,                 0.9876,                0.98908,                 0.7735,                 0.8645,                0.44941,                0.95306,              0.0002352,              0.0002352,              0.0002352
                     12,                0.89942,                0.46852,                0.98939,                0.97289,                0.98676,                0.98853,                0.76251,                  0.894,                0.43531,                0.94812,             0.00019992,             0.00019992,             0.00019992
                     13,                0.89252,                0.45146,                0.99109,                0.97343,                0.97941,                0.98524,                  0.763,                0.90811,                0.44586,                0.95546,             0.00016464,             0.00016464,             0.00016464
                     14,                0.87106,                0.44002,                0.99285,                0.97665,                0.98774,                0.98771,                0.76494,                0.89408,                 0.4152,                0.94935,             0.00012936,             0.00012936,             0.00012936
                     15,                0.84326,                0.42451,                0.97846,                 0.9805,                0.98771,                0.98919,                0.77734,                0.85685,                0.40633,                0.94153,              9.408e-05,              9.408e-05,              9.408e-05
